s0,s10,s90,s90d
105,79,98,17
98,70,88,11
106,77,117,15
87,67,75,12
95,83,83,12
94,73,84,8
79,57,65,11
89,71,45,6
110,69,120,13
98,79,80,11
108,67,108,14
104,88,121,12
115,84,137,17
99,84,84,11
90,70,76,11
86,46,21,2
100,71,93,11
81,58,59,5
30,22,10,3
40,36,11,0
97,103,60,9
94,90,128,21
36,26,5,0
100,65,79,7
103,77,106,5
99,79,111,16
41,31,5,2
40,29,7,0
46,37,5,0
97,78,59,13
40,34,16,0
98,79,125,11
108,66,119,24
55,31,14,0
111,88,104,18
103,76,82,13
123,49,107,29
35,26,7,3
89,66,82,4
59,43,20,0
84,45,24,2
110,75,94,18
67,24,16,0
37,30,6,0
99,86,104,17
90,57,85,13
42,30,5,1
111,89,99,11
69,60,53,6
103,73,114,4
88,48,29,1
109,78,109,14
98,63,98,12
100,65,102,10
80,63,58,7
103,84,123,12
86,47,19,0
100,73,98,7
94,82,96,12
103,75,84,6
35,35,6,0
92,90,127,23
48,34,19,0
102,71,79,10
16,18,2,0
92,70,77,9
104,80,89,14
98,64,91,7
116,93,92,11
97,77,121,27
101,79,106,24
80,69,71,13
99,69,63,5
34,16,9,7
90,75,74,10
96,95,129,14
93,62,84,9
37,31,12,5
106,73,144,26
107,76,78,12
107,69,108,11
83,68,54,7
105,76,94,15
90,61,74,4
43,31,16,0
111,76,93,17
31,25,8,1
108,74,105,11
83,58,68,13
115,78,119,19
100,81,121,19
104,73,88,17
47,33,7,0
95,82,54,10
44,34,6,0
85,65,96,7
101,74,105,23
27,25,5,0
82,63,65,9
96,63,91,8
94,59,111,17
55,32,18,3
90,70,111,20
106,67,81,10
96,85,90,22
89,68,60,4
100,70,89,13
92,62,87,9
59,40,9,5
96,73,91,18
89,63,64,2
111,80,113,18
120,53,116,18
80,38,16,2
114,99,98,14
100,67,19,0
102,77,73,6
52,27,6,2
123,88,167,15
111,70,123,15
49,44,11,0
107,74,121,24
85,39,15,0
92,69,67,4
83,83,103,15
86,63,92,7
104,69,72,13
88,39,16,0
99,75,97,20
92,71,90,6
18,4,23,2
88,67,78,9
83,65,65,12
111,84,130,22
115,77,120,19
111,68,111,15
99,70,101,16
100,78,113,28
85,64,72,15
39,31,14,0
49,31,11,2
94,71,91,17
101,86,81,22
23,16,42,7
117,75,90,9
101,79,129,22
38,26,16,2
102,70,102,15
106,76,87,8
102,83,78,19
82,63,60,8
45,23,19,0
29,23,4,1
80,64,48,7
99,65,67,3
114,86,102,7
19,22,1,2
14,13,0,1
109,69,87,13
95,71,64,4
35,24,14,4
96,72,73,7
87,73,57,3
109,77,117,22
86,61,56,5
111,77,92,26
112,75,119,16
103,71,116,13
104,68,127,21
100,65,98,7
114,80,100,22
102,77,107,20
97,67,82,13
92,68,72,9
47,45,7,4
39,35,11,0
52,36,17,1
93,61,64,9
76,73,93,7
77,61,52,6
84,69,70,3
107,78,106,14
84,66,55,6
43,36,9,2
97,79,101,10
104,74,131,22
104,83,84,19
89,64,71,5
45,36,7,0
94,43,33,5
43,30,12,1
46,32,8,0
82,70,74,11
46,35,15,1
110,101,80,11
112,80,124,26
36,26,3,0
102,83,110,20
122,72,106,21
94,55,81,6
94,70,85,6
111,73,120,32
35,31,7,2
86,74,71,7
127,79,126,32
124,113,133,10
48,39,19,3
51,29,11,3
93,60,89,13
64,28,14,3
40,26,14,1
99,62,84,9
41,36,8,2
15,18,1,0
93,71,69,7
96,62,88,6
142,75,113,14
118,81,161,28
96,86,104,12
85,39,10,0
90,79,65,10
103,72,82,9
95,69,78,8
86,74,79,6
36,32,11,0
48,35,12,0
94,62,66,10
98,59,60,18
41,25,13,1
112,85,102,16
103,89,83,17
41,32,8,1
87,64,74,11
97,46,23,2
94,57,76,12
22,5,14,0
88,69,66,8
91,68,99,21
100,72,110,20
42,31,8,0
91,67,86,14
32,34,10,3
97,73,88,16
97,60,89,6
92,62,71,11
116,88,138,19
110,96,107,16
83,67,39,5
37,29,11,3
41,29,11,0
94,59,49,5
98,69,71,8
93,78,78,10
108,82,97,14
99,85,81,18
97,57,96,11
109,84,85,16
107,75,103,11
102,72,79,6
99,72,75,16
100,75,84,12
119,80,112,29
55,29,8,0
101,78,106,13
116,82,113,8
91,64,76,9
94,79,80,14
82,70,94,9
110,77,121,16
