red_flag,s0,s10,s90,s90d
2,98,85,103,13
0,83,67,62,3
0,106,83,95,17
0,99,78,69,3
2,101,65,105,11
2,100,77,101,5
2,113,79,122,26
0,103,76,66,9
1,34,25,6,0
2,118,88,137,20
2,110,81,128,24
0,95,74,69,10
0,94,58,78,9
2,104,93,108,10
0,114,71,93,13
0,93,64,73,11
1,37,30,9,5
0,84,68,70,7
1,46,30,14,2
1,45,32,11,0
2,112,79,109,18
0,87,66,63,3
0,97,89,79,11
0,89,76,86,14
0,97,74,74,8
0,100,68,64,14
1,87,41,11,0
1,19,19,15,3
1,15,12,6,1
1,31,23,8,0
0,102,73,78,17
0,95,57,77,14
1,48,31,13,0
0,88,68,70,13
0,81,38,90,3
0,102,70,64,3
0,90,71,89,5
0,89,71,68,9
0,95,76,73,10
0,102,82,88,16
0,100,76,91,10
0,98,60,69,10
2,127,62,151,31
0,95,70,81,11
1,40,30,8,0
0,102,76,77,11
0,86,71,67,18
0,86,73,75,7
1,36,17,5,2
0,91,64,70,13
0,95,73,96,5
2,110,55,109,7
1,28,22,11,1
0,108,69,85,11
1,45,20,12,0
2,102,82,98,15
0,86,77,96,19
0,86,65,52,5
0,95,73,84,11
0,95,71,98,5
0,102,68,72,15
1,36,28,6,0
0,95,68,97,5
1,38,28,10,2
1,36,31,9,0
0,111,68,85,14
1,47,26,15,0
0,111,76,92,12
0,94,69,70,8
2,90,78,102,14
0,99,71,99,8
0,101,76,90,18
0,103,80,88,9
1,19,30,17,0
2,102,83,160,22
2,95,96,136,13
2,94,68,103,8
0,102,69,92,17
0,102,74,99,16
0,84,68,85,8
2,117,102,108,21
0,93,64,95,13
2,103,89,135,19
0,93,64,57,10
0,94,78,84,20
1,43,34,14,3
0,88,82,77,9
1,33,28,13,2
0,84,63,75,12
1,40,33,3,0
0,87,71,84,11
0,91,70,68,10
0,89,77,73,6
1,73,41,15,1
0,83,65,67,9
1,33,24,5,4
0,96,67,82,7
1,36,30,4,2
0,100,69,80,18
0,86,73,51,1
1,40,29,11,1
2,112,81,118,12
2,110,77,121,14
0,97,72,74,17
2,90,82,107,12
2,99,85,113,23
0,97,73,78,11
2,110,77,164,20
2,103,87,118,21
0,89,65,69,12
1,45,30,15,0
0,104,71,88,8
2,101,68,119,26
2,102,75,123,14
0,92,69,62,10
1,15,13,11,0
0,104,75,83,11
1,52,41,9,2
0,102,74,62,12
1,45,30,6,0
1,44,31,5,0
1,11,14,7,1
0,94,69,64,9
1,37,32,14,1
1,41,28,9,1
0,96,72,80,7
1,42,31,13,3
0,87,74,96,4
2,106,72,144,15
0,102,69,71,14
0,90,60,56,16
2,123,81,120,26
0,95,74,59,6
1,21,16,6,4
1,25,22,3,2
0,89,81,75,9
1,36,19,15,0
2,109,68,103,13
0,95,74,97,10
0,103,79,89,9
0,91,71,70,13
0,83,66,70,7
0,115,68,91,9
1,35,25,11,2
2,98,97,181,25
0,103,59,72,11
0,86,62,67,5
